Date,ID,SYMBOL,MIC,FREE_FLOAT_PERCENTAGE,EST_VOL,MDV_63,Open,High,Low,Close,Volume,PxAdjFactor,SharesAdjFactor
20131231,BBG000RKR4R8,SD,XNYS,93.4328,0.18379,57933508.0,5.9,6.08,5.85,6.07,10635300.0,1.0,1.0
20131231,BBG000BDWKC5,CA,XNGS,71.9813,0.0902799999999999,75395810.0,33.78,33.79,33.59,33.65,1132528.0,1.1136097,1.0
20131231,BBG000BCHG15,ASH,XNYS,99.303,0.16996,54783564.0,96.69,97.27,96.09,97.04,355724.0,1.096516,1.0
20131231,BBG000PLXQQ3,TRW,XNYS,99.1832,0.10779,55217684.0,74.06,74.577,73.86,74.39,378365.0,1.0,1.0
20131231,BBG000NSCNT7,PFG,XNYS,99.4642,0.0804899999999999,55081228.0,49.35,49.47,49.04,49.31,815805.0,1.1541549,1.0
20131231,BBG000G8N9C6,JWN,XNYS,74.4353,0.0911999999999999,73804536.0,61.89,62.14,61.67,61.8,692319.0,1.1533072,1.0
20131231,BBG000BZTW70,NBR,XNYS,94.3839,0.13333,58254650.0,16.85,17.05,16.78,16.99,2647610.0,1.0100429,1.0
20131231,BBG000M1R011,NOW,XNYS,84.7908,0.22932,64847944.0,55.39,56.04,55.39,56.01,422940.0,1.0,1.0
20131231,BBG000C221G9,PNR,XNYS,99.4983,0.0943,55270440.0,77.69,77.9,77.1,77.67,704484.0,1.1391927,1.0
20131231,BBG000C23KJ3,AES,XNYS,91.4331,0.13216,60760364.0,14.45,14.55,14.39,14.51,2330792.0,1.016725,1.0
20131231,BBG000C75N77,CMA,XNYS,99.0109,0.08837,56179870.0,47.65,47.81,47.37,47.54,824073.0,1.1478032,1.0
20131231,BBG000BQ74K1,NTRS,XNGS,91.4404,0.08493,60897050.0,61.7,62.0,61.66,61.89,709045.0,1.1447593,1.0
20131231,BBG000FW8LZ9,CLDX,XNGS,99.6652,0.39005,55950350.0,23.41,24.34,23.35,24.21,1890099.0,1.0,1.0
20131231,BBG000PCQQL6,LINTA,XNGS,98.2689,0.13662,56761760.0,29.28,29.545,29.19,29.35,2082421.0,1.1186945,1.0
20131231,BBG000C7B436,TEX,XNYS,95.9601,0.1497,58185170.0,41.66,42.36,41.62,41.99,826219.0,1.0013334,1.0
20131231,BBG000BYWTX7,MRVL,XNGS,79.2968,0.2512,70439300.0,14.35,14.64,14.26,14.38,10159286.0,1.0389141,1.0
20131231,BBG000L4M7F1,RMD,XNYS,98.525,0.19427,56748650.0,47.27,47.585,46.98,47.08,480815.0,2.0528035,0.5
20131231,BBG000BKVJK4,HAS,XNGS,88.8198,0.1283599999999999,63043080.0,55.16,55.16,54.69,55.01,776847.0,1.1955872,1.0
20131231,BBG000BKQG80,IACI,XNGS,98.8985,0.19267,56693400.0,68.47,69.72,68.33,68.651,763749.0,1.1899284,2.0
20131231,BBG000C04224,CBG,XNYS,83.8151,0.12283,66950600.0,26.42,26.58,26.21,26.3,1395114.0,1.0,1.0
20131231,BBG000BGKHZ3,VRSN,XNGS,99.0785,0.11012,56770840.0,59.36,59.85,59.33,59.78,769865.0,1.1776468,1.0
20131231,BBG000F86GP6,MCO,XNYS,99.5924,0.13189,56561150.0,78.27,79.1475,78.15,78.47,624755.0,1.0973046,1.0
20131231,BBG000BCNYT9,AVP,XNYS,99.7744,0.1842599999999999,56637692.0,17.25,17.41,17.185,17.22,2323871.0,1.1938888,1.0
20131231,BBG000CGT2S4,UPL,XNYS,96.9003,0.18271,58458116.0,21.67,21.96,21.4,21.65,1784025.0,1.0,1.0
20131231,BBG000G9CGL0,JAZZ,XNGS,82.695,0.18929,68613920.0,127.46,127.7399,125.0501,126.56,561619.0,1.0,1.0
20131231,BBG000BV75B7,TIF,XNYS,86.4773,0.17605,65710704.0,92.26,93.02,91.87,92.78,635312.0,1.1236337,1.0
20131231,BBG000BVVQQ8,TXT,XNYS,99.7404,0.17418,57172692.0,36.57,36.94,36.48,36.76,1238890.0,1.0531129,1.0
20131231,BBG000BQ87N0,NU,XNYS,99.2501,0.05841,57482644.0,42.45,42.52,42.25,42.39,1553031.0,1.2386593,1.0
20131231,BBG000BLMZK6,KMX,XNYS,99.4004,0.13962,57461296.0,47.1,47.235,46.68,47.02,1165028.0,1.0,1.0
20131231,BBG000BX8DC4,FL,XNYS,98.8719,0.12478,57976156.0,41.38,41.63,41.31,41.44,729867.0,1.2591634,1.0
20131231,BBG000GZD660,CBST,XNGS,99.5081,0.18202,58027668.0,68.45,68.94,67.78,68.87,480778.0,1.0,1.0
20131231,BBG000BHQYG9,EGN,XNYS,99.2619,0.17546,58224216.0,69.85,70.82,69.335,70.75,402818.0,1.0690249,1.0
20131231,BBG000DGPR66,BG,XNYS,93.8084,0.09949,62047636.0,82.14,82.358,81.71,82.11,400665.0,1.0884286,1.0
20131231,BBG000F6ZWH2,DKS,XNYS,98.4884,0.11304,59334424.0,57.73,58.37,57.73,58.1,518304.0,1.079083,1.0
20131231,BBG000BPZBB6,NI,XNYS,99.2091,0.10604,58970344.0,32.72,32.95,32.68,32.88,1363630.0,1.3575457,1.0
20131231,BBG000KLB4Q1,SWKS,XNGS,99.3631,0.17523,58983270.0,28.29,28.64,28.22,28.56,1593922.0,1.0,1.0
20131231,BBG000CPHYL4,THC,XNYS,98.4481,0.2080499999999999,59723056.0,41.6,42.49,41.43,42.12,1585773.0,0.25,4.0
20131231,BBG000BLXZN1,TSCO,XNGS,98.8977,0.1415,59471796.0,76.72,78.17,76.66,77.58,1444390.0,4.127533,0.25
20131231,BBG000BK5DP1,GCI,XNYS,99.135,0.14203,59457956.0,29.79,29.87,29.37,29.58,1413432.0,1.2867572,1.0
20131231,BBG000BPXRB3,SOHU,XNGS,78.0692,0.28746,76693100.0,71.94,73.0,71.9101,72.93,255710.0,1.0,1.0
20131231,BBG000VC0T95,WDAY,XNYS,98.0825,0.17904,61112156.0,82.46,83.35,82.18,83.16,594984.0,1.0,1.0
20131231,BBG000BWP7D9,WEC,XNYS,99.7574,0.05901,60179590.0,41.48,41.56,41.13,41.34,1096468.0,2.4100957,0.5
20131231,BBG000BBNYF6,DRI,XNYS,99.0769,0.13005,60657720.0,54.46,54.7,54.16,54.37,719525.0,1.215849,1.0
20131231,BBG000RNTSX0,ULTA,XNGS,93.4212,0.19322,64914660.0,94.26,97.15,93.59,96.52,1382537.0,1.0111895,1.0
20131231,BBG000C3NTN5,HOLX,XNGS,86.7658,0.1909799999999999,69995480.0,22.35,22.37,22.23,22.35,1424660.0,2.0,0.5
20131231,BBG000C060M4,AMG,XNYS,99.453,0.09187,61233492.0,215.17,217.48,215.17,216.88,241033.0,1.0,1.0
20131231,BBG000BFDLV8,CERN,XNGS,88.4647,0.15289,69099070.0,55.75,56.097,55.55,55.74,676052.0,4.0,0.25
20131231,BBG000BCVMH9,CP,XNYS,89.9882,0.12546,67949704.0,150.56,151.9188,150.56,151.32,277046.0,1.1084346,1.0
20131231,BBG000BLCL55,QEP,XNYS,99.1397,0.18347,61868068.0,30.52,30.8,30.47,30.65,1276864.0,1.0088605,1.0
20131231,BBG000BJDPC2,FDO,XNYS,83.9689,0.15329,73136570.0,65.42,66.18,64.86,64.97,1271315.0,1.1040705,1.0
20131231,BBG000CF2GH6,ARIA,XNGS,96.8935,0.61625,64549772.0,6.57,6.98,6.45,6.82,19672352.0,1.0,1.0
20131231,BBG000PYZSR8,CHTR,XNGS,67.4232,0.18847,93355080.0,134.06,136.76,134.06,136.76,454709.0,1.0,1.0
20131231,BBG000BQHGR6,OKE,XNYS,99.2656,0.11654,63983144.0,61.35,62.23,61.35,62.18,799172.0,2.4868999,0.5
20131231,BBG000BMLWX8,KBH,XNYS,99.1659,0.1390799999999999,64060320.0,18.12,18.38,18.08,18.28,2288747.0,1.1282576,1.0
20131231,BBG000BQVTF5,PCAR,XNGS,97.9552,0.07693,65295390.0,59.15,59.35,58.814,59.17,980859.0,1.1652745,1.0
20131231,BBG000BGD7W6,MAR,XNGS,66.9905,0.0894399999999999,95554056.0,49.0,49.435,49.0,49.351,1484119.0,1.1458585,0.9891886
20131231,BBG000C37332,FOSL,XNGS,82.2246,0.19129,77912520.0,120.74,120.74,119.51,119.94,388282.0,1.0,1.0
20131231,BBG000C6F3T8,IGT,XNYS,99.0305,0.16283,65885508.0,17.89,18.16,17.79,18.16,3145532.0,1.1174016,1.0
20131231,BBG000FFH4P5,FLS,XNYS,99.3338,0.10911,65826544.0,78.0,78.89,78.0,78.83,1367192.0,3.2192535,0.33333334
20131231,BBG000BBCQD7,SLM,XNGS,98.9927,0.11503,66403868.0,26.17,26.4,26.16,26.28,2198493.0,1.0834365,1.0
20131231,BBG000BCYP43,BCR,XNYS,98.9189,0.0935799999999999,66461096.0,133.54,134.43,133.09,133.94,279678.0,1.0482508,1.0
20131231,BBG000D13GN8,Z,XNGS,78.7524,0.28726,83577870.0,80.46,82.73,80.04,81.73,658853.0,1.0,1.0
20131231,BBG000BB29X4,DTE,XNYS,99.4408,0.0607799999999999,66327850.0,66.32,66.5,65.88,66.39,1902737.0,1.3396741,1.0
20131231,BBG000BPQVR5,RKT,XNYS,98.3944,0.1746599999999999,67064140.0,105.04,105.87,104.48,105.01,446136.0,1.0771744,1.0
20131231,BBG000K1J931,CSIQ,XNGS,69.8823,0.47597,94691410.0,30.54,30.64,29.45,29.82,1795993.0,1.0,1.0
