Date,Time,Id,CumReturnResid,CumReturnRaw,CumVolume
20150422,09:45:00.000,BBG000BF6RQ9,-0.00039904934,-0.0056427186,32129
20150422,09:45:00.000,BBG000R33RF4,-0.017156547,-0.0069105127,35473
20150422,09:45:00.000,BBG000K82ZT8,0.00070040335,0.0019610622,69865
20150422,09:45:00.000,BBG000BKL348,0.0023181424,-0.0027040495,52133
20150422,09:45:00.000,BBG000R0L5J4,-0.0002529615,0.00023028349,91087
20150422,09:45:00.000,BBG000BDY3Y7,0.0060277767,0.009562642,72025
20150422,09:45:00.000,BBG000BJ26K7,0.003451951,-8.513208e-05,34624
20150422,09:45:00.000,BBG000BN1XR3,0.001481209,-0.0056704935,25071
20150422,09:45:00.000,BBG000K7PWX7,-0.0017208969,4.1802597e-08,77079
20150422,09:45:00.000,BBG000PTLGZ1,-0.00347631,-0.0072236797,16612
20150422,09:45:00.000,BBG000CB8Q50,-0.00010420911,-0.00070289307,9968
20150422,09:45:00.000,BBG000GPXKX9,-0.0044346643,-0.0019588952,41387
20150422,09:45:00.000,BBG000BC2R71,-0.005105251,-0.0034054234,62706
20150422,09:45:00.000,BBG000HGYNZ9,-0.003921399,-0.0028188245,138239
20150422,09:45:00.000,BBG000BLGFJ9,0.009770225,0.0055563673,127682
20150422,09:45:00.000,BBG001BPFT54,0.016074194,0.017502667,347346
20150422,09:45:00.000,BBG000BT1715,-0.00059518893,-0.0020441194,16835
20150422,09:45:00.000,BBG000BPNP00,-0.0033210067,-0.0029851021,83645
20150422,09:45:00.000,BBG000BDDNH5,-0.005957953,-0.005062392,76030
20150422,09:45:00.000,BBG000B9X8C0,0.0027863518,0.0024033953,45256
20150422,09:45:00.000,BBG000C37332,-0.0016037066,-0.0031778684,16163
20150422,09:45:00.000,BBG000G6BN50,-0.012381924,-0.007044206,19072
20150422,09:45:00.000,BBG000BCHG15,0.002218377,-0.0031912134,6275
20150422,09:45:00.000,BBG000BVL2G3,-0.05844054,-0.05888833,835378
20150422,09:45:00.000,BBG000CPHYL4,0.0021037401,0.0037359826,42562
20150422,09:45:00.000,BBG000BLDV98,-0.00016433206,-0.0012435823,56888
20150422,09:45:00.000,BBG000FBMY72,-0.0014396044,0.0066195726,75077
20150422,09:45:00.000,BBG000N746D6,0.00456348,0.0023615335,160152
20150422,09:45:00.000,BBG000C22QV7,-0.0036424047,-0.0073067727,101287
20150422,09:45:00.000,BBG000BKNX95,-0.005594078,-0.005410258,99721
20150422,09:45:00.000,BBG000CPBCL8,0.00414261,0.010064138,44865
20150422,09:45:00.000,BBG000BVHBM1,-0.00057210366,-0.009413336,96520
20150422,09:45:00.000,BBG000BQ74K1,0.010721621,0.007370846,74191
20150422,09:45:00.000,BBG000BJKPG0,-0.0023236766,-0.00203717,26393
20150422,09:45:00.000,BBG000FH5YM1,-0.0009121461,-2.4610154e-08,250454
